800307,545565.180,201898.942,321.898,Lepcso
800308,545567.054,201900.881,321.996,Lepcso
800309,545565.920,201896.585,322.093,Lepcso
800310,545563.943,201892.206,322.105,Lepcso
800311,545561.611,201887.369,322.041,Lepcso
800312,545560.726,201883.514,322.030,Lepcso
800313,545557.113,201876.568,322.038,Lepcso
800314,545556.911,201875.845,322.118,Lepcso
800400,545539.764,201868.891,322.497,Lepcso
800401,545545.882,201865.591,322.697,Lepcso
800402,545553.248,201861.757,323.035,Lepcso
800403,545552.497,201860.263,323.107,Lepcso
800404,545547.760,201862.658,322.883,Lepcso
800405,545540.340,201866.810,322.640,Lepcso
800500,545559.374,201874.031,322.876,Lepcso
800501,545557.199,201876.119,322.695,Lepcso
800502,545560.899,201883.407,322.715,Lepcso
800503,545561.932,201887.568,322.549,Lepcso
800504,545565.146,201893.700,322.506,Lepcso
800505,545568.472,201900.459,322.500,Lepcso
800506,545570.283,201901.025,322.540,Lepcso
800507,545574.187,201908.055,322.452,Lepcso
800508,545578.762,201917.924,322.020,Lepcso
800509,545569.382,201922.223,321.585,Lepcso
800510,545565.920,201924.031,321.417,Lepcso
800511,545567.022,201927.087,321.239,Lepcso
800512,545569.511,201926.656,321.303,Lepcso
800513,545574.331,201924.212,321.617,Lepcso
800514,545582.320,201920.722,322.180,Lepcso
800515,545574.930,201905.138,322.547,Lepcso
800516,545566.511,201887.853,322.810,Lepcso
800600,545552.595,201860.302,323.301,Lepcso
800601,545557.052,201868.979,323.162,Lepcso
800602,545564.693,201884.149,323.005,Lepcso
800603,545576.467,201907.941,322.706,Lepcso
800604,545582.809,201921.420,322.473,Lepcso
800605,545583.421,201920.693,322.570,Lepcso
800606,545575.922,201904.846,322.877,Lepcso
800607,545568.931,201890.528,323.043,Lepcso
800608,545560.720,201874.241,323.227,Lepcso
800609,545553.378,201859.830,323.357,Lepcso
800700,545553.501,201859.728,323.789,Lepcso
800701,545566.691,201885.986,323.574,Lepcso
800702,545574.980,201902.908,323.319,Lepcso
800703,545583.769,201920.995,322.962,Lepcso
800704,545584.420,201920.740,323.106,Lepcso
800705,545575.803,201902.334,323.383,Lepcso
800706,545565.136,201880.851,323.641,Lepcso
800707,545554.155,201859.351,323.865,Lepcso
800800,545554.104,201859.156,324.136,Lepcso
800801,545547.408,201862.575,323.783,Lepcso
800802,545540.561,201866.429,323.442,Lepcso
