GedoOffice2, Analysis: 2 Date: 2026. 04. 20. Time: 9:31
Calculation of centre line: D = design gauge / 2
Horizontal  reference for rail points: Running edge
Vertical reference for rail points: Middle of head
Name,Code,East(left)[m],North(left)[m],Elev(left)[m],East(center)[m],North(center)[m],Elev(center)[m],East(right)[m],North(right)[m],Elev(right)[m],Cant[mm],Gauge[mm],Chainage[m],LineName,PrismSide,HeightRefRail
340,vg,545689.9018,202168.7404,326.3709,545690.5788,202168.4894,326.4115,545691.2506,202168.2403,326.4517,80.5,1440.6,69207.979,L002,0,0,
341,vg,545691.6304,202173.4577,326.3297,545692.3074,202173.2133,326.3723,545692.9812,202172.9700,326.4148,85.0,1438.4,69213.003,L002,0,0,
342,vg,545693.3132,202178.1819,326.2853,545693.9931,202177.9444,326.3307,545694.6692,202177.7082,326.3758,90.2,1439.0,69218.017,L002,0,0,
343,vg,545694.9678,202183.0062,326.2401,545695.6533,202182.7752,326.2889,545696.3318,202182.5466,326.3372,96.7,1442.4,69223.118,L002,0,0,
344,vg,545696.5478,202187.7582,326.1934,545697.2332,202187.5351,326.2458,545697.9138,202187.3135,326.2979,104.2,1440.1,69228.125,L002,0,0,
345,vg,545698.0911,202192.5806,326.1518,545698.7792,202192.3647,326.2061,545699.4620,202192.1505,326.2600,107.8,1440.5,69233.187,L002,0,0,
346,vg,545699.5787,202197.3996,326.1014,545700.2661,202197.1931,326.1607,545700.9511,202196.9873,326.2198,118.3,1437.5,69238.230,L002,0,0,
347,vg,545700.9871,202202.1980,326.0565,545701.6788,202202.0003,326.1194,545702.3663,202201.8039,326.1819,125.1,1440.1,69243.231,L002,0,0,
354,vg,545700.9900,202202.2079,326.0564,545701.6816,202202.0102,326.1193,545702.3691,202201.8138,326.1818,125.1,1439.4,69243.232,L002,0,0,
348,vg,545702.3418,202207.0281,326.0045,545703.0355,202206.8382,326.0711,545703.7249,202206.6494,326.1372,132.3,1440.5,69248.245,L002,0,0,
355,vg,545702.3423,202207.0300,326.0045,545703.0360,202206.8400,326.0710,545703.7254,202206.6513,326.1372,132.3,1439.6,69248.237,L002,0,0,
356,vg,545703.6347,202211.8625,325.9715,545704.3353,202211.6808,326.0362,545705.0273,202211.5014,326.1001,127.8,1443.9,69253.241,L002,0,0,
349,vg,545703.6390,202211.8789,325.9714,545704.3396,202211.6972,326.0360,545705.0316,202211.5178,326.0999,127.8,1444.5,69253.265,L002,0,0,
357,vg,545704.8565,202216.7093,325.9184,545705.5565,202216.5392,325.9840,545706.2511,202216.3705,326.0491,130.2,1440.6,69258.241,L002,0,0,
350,vg,545704.8634,202216.7376,325.9181,545705.5635,202216.5676,325.9837,545706.2581,202216.3989,326.0487,130.2,1441.7,69258.276,L002,0,0,
358,vg,545706.0115,202221.5933,325.8690,545706.7204,202221.4300,325.9344,545707.4170,202221.2695,325.9988,128.7,1447.7,69263.259,L002,0,0,
351,vg,545706.0152,202221.6096,325.8688,545706.7242,202221.4463,325.9343,545707.4208,202221.2859,325.9986,128.7,1448.2,69263.280,L002,0,0,
359,vg,545707.1105,202226.4739,325.8211,545707.8181,202226.3206,325.8874,545708.5167,202226.1694,325.9529,130.9,1444.3,69268.261,L002,0,0,
352,vg,545707.1161,202226.4996,325.8209,545707.8237,202226.3465,325.8872,545708.5223,202226.1952,325.9526,130.9,1445.1,69268.292,L002,0,0,
360,vg,545708.1361,202231.3722,325.7783,545708.8492,202231.2280,325.8436,545709.5498,202231.0864,325.9079,128.5,1447.7,69273.264,L002,0,0,
353,vg,545708.1411,202231.3971,325.7780,545708.8542,202231.2530,325.8434,545709.5549,202231.1114,325.9076,128.5,1448.2,69273.292,L002,0,0,
361,vg,545709.1066,202236.3123,325.7309,545709.8208,202236.1777,325.7980,545710.5231,202236.0453,325.8640,132.0,1447.1,69278.299,L002,0,0,
362,vg,545710.0012,202241.2311,325.6791,545710.7155,202241.1078,325.7486,545711.4196,202240.9863,325.8172,137.2,1445.4,69283.300,L002,0,0,
363,vg,545710.8191,202246.1643,325.6271,545711.5346,202246.0516,325.6976,545712.2403,202245.9403,325.7672,139.1,1445.0,69288.300,L002,0,0,
364,vg,545711.5713,202251.1193,325.5780,545712.2883,202251.0161,325.6487,545712.9954,202250.9143,325.7184,139.5,1445.1,69293.311,L002,0,0,
365,vg,545712.2596,202256.1083,325.5327,545712.9777,202256.0146,325.6026,545713.6861,202255.9222,325.6716,138.0,1444.7,69298.346,L002,0,0,
366,vg,545712.8847,202261.1056,325.4825,545713.6018,202261.0215,325.5538,545714.3113,202260.9383,325.6244,141.2,1442.8,69303.381,L002,0,0,
367,vg,545713.4342,202266.0934,325.4374,545714.1551,202266.0206,325.5100,545714.8657,202265.9489,325.5815,143.1,1445.4,69308.399,L002,0,0,
368,vg,545713.9066,202271.1049,325.3871,545714.6278,202271.0419,325.4558,545715.3396,202270.9797,325.5237,135.7,1444.4,69313.432,L002,0,0,
369,vg,545714.3267,202276.1536,325.3459,545715.0470,202276.0989,325.4134,545715.7596,202276.0447,325.4803,133.8,1442.7,69318.497,L002,0,0,
370,vg,545714.6754,202281.1430,325.2910,545715.3946,202281.0987,325.3617,545716.1076,202281.0547,325.4317,140.1,1441.3,69323.499,L002,0,0,
371,vg,545714.9528,202286.1424,325.2460,545715.6739,202286.1078,325.3129,545716.3877,202286.0736,325.3792,132.6,1442.2,69328.505,L002,0,0,
372,vg,545715.1628,202291.1628,325.1895,545715.8859,202291.1382,325.2579,545716.6000,202291.1139,325.3256,135.2,1444.0,69333.530,L002,0,0,
373,vg,545715.3041,202296.1637,325.1436,545716.0268,202296.1487,325.2089,545716.7415,202296.1337,325.2736,129.3,1443.1,69338.532,L002,0,0,
374,vg,545715.3823,202301.2060,325.0950,545716.1036,202301.2001,325.1593,545716.8185,202301.1942,325.2229,127.3,1441.4,69343.573,L002,0,0,
375,vg,545715.3918,202306.2255,325.0483,545716.1140,202306.2302,325.1147,545716.8287,202306.2348,325.1804,131.4,1442.5,69348.593,L002,0,0,
376,vg,545715.3273,202311.2838,324.9983,545716.0480,202311.2981,325.0592,545716.7630,202311.3124,325.1196,120.9,1440.7,69353.651,L002,0,0,
377,vg,545715.2006,202316.3254,324.9501,545715.9201,202316.3492,325.0137,545716.6347,202316.3729,325.0768,126.3,1440.0,69358.693,L002,0,0,
378,vg,545714.9993,202321.3714,324.9028,545715.7192,202321.4054,324.9675,545716.4332,202321.4392,325.0316,128.4,1440.8,69363.742,L002,0,0,
379,vg,545714.7331,202326.4067,324.8534,545715.4531,202326.4502,324.9189,545716.1666,202326.4934,324.9838,129.9,1441.5,69368.785,L002,0,0,
380,vg,545714.4001,202331.4350,324.7992,545715.1174,202331.4881,324.8669,545715.8300,202331.5408,324.9343,134.6,1439.7,69373.823,L002,0,0,
381,vg,545713.9948,202336.5277,324.7528,545714.7139,202336.5896,324.8164,545715.4263,202336.6510,324.8794,126.0,1441.9,69378.931,L002,0,0,
382,vg,545713.5222,202341.6898,324.7053,545714.2400,202341.7609,324.7653,545714.9518,202341.8314,324.8249,119.1,1441.1,69384.114,L002,0,0,
383,vg,545712.9957,202346.6916,324.6517,545713.7146,202346.7726,324.7145,545714.4251,202346.8528,324.7765,124.2,1443.4,69389.144,L002,0,0,
384,vg,545712.3975,202351.7451,324.5917,545713.1139,202351.8354,324.6580,545713.8230,202351.9248,324.7236,131.2,1442.3,69394.232,L002,0,0,
385,vg,545711.7380,202356.7582,324.5477,545712.4522,202356.8574,324.6112,545713.1604,202356.9558,324.6742,126.0,1441.1,69399.287,L002,0,0,
386,vg,545711.0228,202361.7116,324.5033,545711.7332,202361.8195,324.5639,545712.4402,202361.9269,324.6242,120.6,1438.3,69404.292,L002,0,0,
