Name,Code,Linename,Chainage,Easting,Northing,Elevation,Sd,VA,Cant,Gauge,Lateral (center),Elevation (center),Lateral canted (center),Elevation canted (center),Lateral (rail),Elevation (rail),Lateral canted (rail),Elevation canted (rail),Lateral (center),Elevation (height ref. rail),Reference
141,ft,L01,68418.7440,545342.105,201463.124,339.930,5.250,0.3834,0.0021,1.4315,-0.063,5.899,-0.055,5.899,0.651,5.900,0.659,5.899,-0.063,5.900,2
142,ft,L01,68418.7440,545344.264,201461.987,340.054,5.875,336.0536,0.0021,1.4315,2.376,6.024,2.385,6.021,1.659,6.023,1.667,6.021,2.376,6.025,2
143,ft,L01,68418.7440,545351.902,201457.963,340.486,12.444,297.4343,0.0021,1.4315,11.010,6.455,11.019,6.440,10.293,6.454,10.302,6.440,11.010,6.456,2
144,ft,L01,68418.7440,545356.207,201455.694,340.711,16.980,290.4329,0.0021,1.4315,15.876,6.681,15.885,6.658,15.158,6.680,15.167,6.658,15.876,6.682,2
145,piller,L01,68418.7440,545356.252,201455.670,340.623,16.997,290.2302,0.0021,1.4315,15.927,6.592,15.936,6.570,15.210,6.591,15.219,6.570,15.927,6.593,2
146,piller,L01,68418.7440,545356.225,201455.675,339.801,16.702,287.4629,0.0021,1.4315,15.901,5.771,15.909,5.749,15.183,5.770,15.191,5.749,15.901,5.772,2
147,fvo,L01,68488.7010,545377.413,201523.518,333.023,3.129,252.2354,0.0064,1.4319,2.987,-0.284,2.986,-0.297,2.270,-0.287,2.269,-0.297,2.987,-0.281,2
148,fvo,L01,68488.7010,545377.484,201523.551,339.393,6.226,330.3541,0.0064,1.4319,3.034,6.086,3.060,6.073,2.317,6.083,2.343,6.073,3.034,6.089,2
149,fvo,L01,68544.6210,545403.575,201572.936,332.414,3.217,251.0447,0.0011,1.4309,3.048,-0.391,3.047,-0.393,2.330,-0.391,2.330,-0.393,3.048,-0.390,2
150,fvo,L01,68544.6210,545403.652,201572.963,338.317,5.767,327.2709,0.0011,1.4309,3.103,5.513,3.107,5.511,2.385,5.513,2.390,5.511,3.103,5.514,2
151,fvo,L01,68655.1860,545455.211,201670.769,331.248,3.233,249.5932,-0.0026,1.4306,3.042,-0.462,3.043,-0.456,2.324,-0.460,2.325,-0.456,3.042,-0.463,2
152,fvo,L01,68655.1860,545455.280,201670.774,335.080,4.121,311.2524,-0.0026,1.4306,3.101,3.371,3.095,3.376,2.383,3.372,2.377,3.376,3.101,3.369,2
153,fvo,L01,68711.6770,545481.680,201720.678,330.865,3.300,253.1359,0.0002,1.4352,3.160,-0.302,3.160,-0.302,2.442,-0.302,2.442,-0.302,3.160,-0.302,2
154,fvo,L01,68711.6770,545481.679,201720.742,336.669,5.774,327.1120,0.0002,1.4352,3.128,5.503,3.129,5.502,2.411,5.503,2.412,5.502,3.128,5.503,2
155,fvo,L01,68768.0900,545507.991,201770.569,330.111,3.345,249.3608,0.0002,1.4351,3.135,-0.516,3.135,-0.516,2.418,-0.516,2.418,-0.516,3.135,-0.515,2
156,fvo,L01,68768.0900,545508.011,201770.596,333.624,3.921,306.4713,0.0003,1.4351,3.140,2.998,3.141,2.998,2.423,2.998,2.423,2.998,3.140,2.998,2
